台湾測試,#genre#
靖天卡通,tvbus://5XaaoHBnDRrFmBQhrUp9XsT2MtTF7gYzhPLGP4DGjEiJLZ2WhgPo2e3gmQtpx
台視財經,tvbus://5QKsG2nutAoqFyBrLsWUUX6NyzLK8M2DTXtb2Z5ynMKNFnVZ1piYPwYmHuSUY
台視綜合,tvbus://6Z9NPPR697ZRRs1JyrvJkcEFXT9iUZ1aDBMqTGdBsVM6ectZ9aKDNPk89SVYf
尼克兒童頻道,tvbus://6NuvcMoX9Wixht5EJjTr67ja8bf5FbqBdtqGhmLxUnYtW97h8ehBP6QdNp532
愛爾達娛樂,tvbus://5mxkdtSYxPR3A61foYeGvrynjJxTQwGz3z3Bu92k55fxLDYAVwxDgpqBhg12U
唯心電視,tvbus://6CMNBstbRzcdJbY7gDd6LwuXWB7ebiwehwqiwHzYtfCwLkkTCYM1pRggPCZHG
NBA,tvbus://6WqDFgGHSXxwGW5njLJi6suH7eJ3nYTAjigr1sVCMLdeYK48xc9yrhEU2rRLP
Eleven_Sport2,tvbus://5ieLy6Bs8rBH2rWXWF1aiFCpgMC3vzsKY8dD7FKwSkFreqYcb6rD5dCrXhdwL
BBC_Lifestyle_Channel,tvbus://5wefCvSVvkt2zhp4HDBEWmxbYV7g5r6Xj27bg7FJMv8o9FBdYudRNYyLVw2at
TVBS精采,tvbus://6XbZPjUSREcXYoh1NWQ6LmTHS54rREPg8e4kEnWaHzcRZaspKcN5h9HxPGgM4
博斯運動一,tvbus://7VpCazHuRetki2GZiQRRikrkVCqLWhdMMUX9WQyScrKUAMd75p
探索亞洲,tvbus://5fYiZcb7bobbKsnMLyrKNjyRuimHXcsp1unyX1eMoqYfWkkp39SQv1USNqmmx
DMAX,tvbus://5smJA9nq9pWPSDZHgad2rkZ9PE8AzJBRo6cfQVZB9voKy568mtGDb8mAucoRU
博斯運動2,tvbus://77Ju1iGxRoNbxfaEh8ETTQvUXaBMVHL5uWv7obQuaufH465EPh
H2,tvbus://65uc4WnPyY6F6seDNVLobGHNPTSrWCUhUqxNNpt8MQFQMMjqcQaUVxsKzGQ9y
罪案偵緝頻道,tvbus://5cBuWJcyHBKyH8t8vCKZ9bpZUMUFk8DTc1LUuXYg3PGULKo7wsvxizftUPTmT
韓國娛樂KMTV,tvbus://8a31rWqWar3LgSdMSPFoPj4P4h8FbGGRnHea6EnckcienUfxk2
wakuwaku(English),tvbus://6Gm8Y5FHHsCMWmubtYX8HatkYvZbpHaE5BwwwywpUufPC1LcHMrTxQG5RxTMn
HBO原創鉅獻,tvbus://6XTmHfPsQFC9HsPDjJQsiwnqnFtfdx4ekQUu2M2CfkEFXwxQr1fdWgLaVtp4X
HBO強檔鉅獻,tvbus://6iNsHPHjnbesMhw11RHS4sSfjkBp7i6wEEjfDcEq8rNQLt5wBnNv1Y4cJaQMK
HBO溫馨家庭,tvbus://5aBHDtkysiAPD6ssRqqVaYvnAUDL6K5yz3iqKY5h9sC7rhP5R5aw13jY1v9rK
tvN,tvbus://65KYwFzVqS88CUAqVYKj9ymf7R7CLMNHhbVB7DnYMHezRAzZLkEWqrFpkah2N
星衛電影,tvbus://6HEgk6v2dcFEp48HohXkhC73Pdye4wZ1Mgws8KK833aq6rAzythmo9Z4ZDnP9
衛視洋片,tvbus://6uXf7tLjQEi9x8FRTh3eFMLDxvrUV643QLBPAxsyPR5NTBB545
FOX_SPORTS_3,tvbus://6HB6UMpUbJzpUEwF6YbaRxMxw2muZ2WVyNFyU7mRoWgh9WzSFpnVhgtMSNRr5
國家地理野生頻道,tvbus://5oRJxmZ4F1mga6wmLhCEkCZDiJWrbydZc9rvG4eynVwHRLqgKW38fVjchKJML
國家地理悠人頻道,tvbus://6iZ5A2rRv6QA9r9s2DRiHY7KdoxnNQ8dmiiwQCNVRM5N5PpPNKPwGCKfMAv3r
博斯高球,tvbus://61gn94JLNN2gxHHPZGD5N7wn8JfZSKsrwr9HnBrfoRA8Y6Lh4tfWzREoSsQJN
博斯高球二,tvbus://5sBm5icQbDAZimzmUUCDWftepBhGDcrT4c21xnxyn8bBMtn7Jm7F1az6vdNJX
博斯魅力,tvbus://5jWVoVWDzMLB9mJ1Z9F1gGcDBAMaQt89bnf9T3ccpo2AuMJW95LzNJPMGX3b2
博斯網球,tvbus://5ZjaFSgh4BXSSVPJLgRybUYuxPeLQxLBSpnwqcUuvH4ZPWZuYFMNB4hwRXWui
博斯無限,tvbus://6UKxSYxrqMVTE7RkrLjrLrbnQX2y2iRUJoYiWVEhqzr8uwZ7QJio6qbaVacHf
歷史頻道,tvbus://5e5WsYxPHbGNzugLb4WNbiJx523VzgDtGXd9L44e5YUKwLuKHLgR4R3xdPYYZ
博斯無限二,tvbus://5kxEFyayqBvjsNEjfkBzaAG4hQaL2jVn5JmRxndjGaaRK4gACaPRnY3gGpGnw
靖天國際,tvbus://5aaSGoKZS5s5Z77BicnifreNeJ8gap6SCMbTDa6cdLeEtjxBpmDQRxioeeE37
靖天資訊,tvbus://61EZLbjeYvd7fPjkpZ5HztmQYKd3kuTukFVcfVsQgLbhgML76DvVSGCE8f45p
靖天綜合,tvbus://5UbYmoxhxogwNQh1xF1LANFAHAuDrTxStmEU7camWU7mXefN9png2PV5gjn6j
靖天育樂,tvbus://6J3Lo2bLyJ6vna9oWktBp33aozVjURW1vkhDAmNVwWyRMmwH7RqRRJQr5fXCu
台視新聞,tvbus://6ZmEsG1fAYZVjYz1Zv4p9b3tjEiYuxHqbe6QBtmNwtKuFCcfcxV7iM1snBVx9
